,relative_error,Latitude,Longitude
0,77.1479656519077,-32.12,150.84
1,3.73252594797981,-30.99,149.84
2,118.4012778424577,-30.99,150.25
3,85.85444987357181,-32.12,148.7
4,35.15119822502346,-30.99,150.25
5,20.1426568095803,-30.66,149.94
6,55.41284504153449,-32.25,150.67
7,40.354197042708805,-32.27,150.48
8,9.126366263666,-31.04,150.12
9,3.2159246178875054,-31.15,150.19
10,13.04134659296178,-32.11,148.66
11,38.00694163802529,-30.88,149.76
12,90.2730360771718,-31.3,148.67
13,9.11618575307127,-32.35,150.63
14,24.949063732688842,-32.33,151.96
15,4.943256333048927,-32.93,150.24
16,6.231726950711225,-31.22,150.56
17,27.841687792848685,-32.43,150.67
18,9.809182433875923,-31.02,150.21
19,22.880255568491542,-31.03,150.23
20,3.999012000118951,-30.98,150.25
21,2.933364379734998,-29.35,150.2
22,1.8459871353372452,-32.66,151.01
23,19.923610396126424,-33.49,150.83
24,5.268646820067959,-30.98,150.12
25,32.23143282271463,-31.82,149.42
26,20.425538639043314,-31.51,149.51
27,17.60799135207133,-32.42,150.7
28,22.150925182679913,-30.68,149.85
29,11.505515459055683,-30.68,149.87
30,10.763370351417823,-32.64,151.21
31,5.9616570242613225,-32.76,150.11
32,0.16448027739420223,-32.34,151.96
33,1.2274154606647003,-31.05,150.1
34,3.9661404764201285,-31.54,149.52
35,2.348522530070829,-32.24,150.86
36,3.9198437381926006,-32.81,150.14
37,30.60711042211398,-32.31,151.96
38,5.739315427609626,-32.34,151.94
39,11.881488665060946,-31.83,149.43
40,12.935132729314768,-32.15,149.8
41,4.281045231271766,-32.01,148.63
42,1.4329602893539528,-34.52,150.33
43,0.7670594541764458,-31.11,150.31
44,1.9652301609771752,-34.19,150.76
45,7.423673038783576,-32.36,150.71
46,1.6966282018961871,-32.18,150.45
47,2.813079458968365,-31.4,149.94
48,15.836879891651213,-31.47,148.91
49,4.790748160156875,-31.09,149.99
50,4.345184866139325,-34.05,150.55
51,12.397973123079481,-32.32,151.95
52,0.7634595664152767,-32.26,149.87
53,7.936750802284358,-32.28,150.63
54,2.4934113249877075,-30.66,150.05
55,2.176101757032811,-32.47,150.0
56,2.9555205553799437,-31.27,149.59
57,1.0232762715150308,-32.37,150.46
58,38.75057088786609,-31.26,149.55
59,10.0867606419301,-32.14,150.31
60,3.2358000903873854,-32.34,150.64
61,2.9053991374265213,-31.52,150.46
62,72.027364223529,-31.94,149.68
63,0.06256645651117329,-29.94,149.87
64,2.0133034904551983,-31.03,150.16
65,3.8543247581831332,-32.33,151.96
66,0.5924185989840784,-32.12,148.61
67,3.4770126108697736,-31.82,149.57
68,1.3724924642358618,-32.29,149.95
69,2.504372295110712,-32.54,150.69
70,8.927230572042141,-32.31,151.96
71,4.302150824253945,-32.27,149.96
72,0.8783210497821727,-32.56,150.37
73,3.346384017942877,-32.33,150.11
74,31.06784017521808,-30.81,149.8
75,1.9642284886015504,-30.79,150.2
76,3.3847921293012977,-32.22,149.77
77,2.1602620253593448,-31.21,150.08
78,2.909163350205558,-31.08,149.7
79,3.7688271602004657,-30.64,150.15
80,5.114371052222134,-34.72,150.1
81,7.711390123749953,-31.0,150.23
82,4.033793443021466,-32.07,148.65
83,1.1806851576835615,-30.18,149.96
84,3.1306420806749817,-32.27,150.74
85,2.5170185733975,-31.98,148.63
86,0.4422753266972333,-33.77,151.12
87,0.3573124353536524,-32.14,148.66
88,4.408397046326047,-32.2,150.35
89,1.3629602746330358,-32.25,150.41
90,7.057591823167762,-32.27,149.96
91,10.543392690947417,-31.98,148.61
92,3.052560495238987,-32.12,150.87
93,5.912770783806165,-31.37,149.82
94,3.5440690099993906,-32.02,148.46
95,6.9821500043344855,-32.38,150.53
96,0.262339360654815,-31.1,150.05
97,1.714769381091192,-32.35,150.13
98,3.7665569322301025,-31.0,150.24
99,2.528865741088981,-31.45,150.41
100,1.3207820637746504,-34.43,150.4
101,0.7403243788200559,-30.43,149.93
102,2.340327991635442,-33.57,150.68
103,0.3171459119023402,-34.49,150.38
104,2.0779073187306403,-34.52,150.48
105,2.8908064387512353,-31.17,149.6
106,4.305416711313662,-32.54,150.67
107,1.8165559197520749,-34.23,150.58
108,14.733114055762385,-32.36,150.59
109,2.4694233559454157,-32.14,150.71
110,2.7813414121024027,-32.1,148.61
111,6.562533483132713,-32.2,150.35
112,2.051086613062757,-31.06,150.46
113,4.165348815996693,-32.15,150.12
114,4.230769567271466,-32.12,148.61
115,0.37522893293852944,-34.23,150.56
116,0.7183226792164671,-30.29,150.01
117,3.316821045506217,-31.23,150.46
118,3.8594576015912785,-30.61,150.03
119,0.3744239418030003,-33.06,151.67
120,21.71080140994264,-33.59,150.73
121,0.716928700208972,-31.31,150.15
122,3.5636645301900707,-33.52,150.76
123,4.155871721652195,-31.39,150.65
124,1.3603399058061352,-31.33,150.69
125,3.355364489393013,-31.6,150.68
126,1.8826028269768733,-32.5,151.94
127,0.2323074923037147,-31.67,150.7
128,8.838187147394681,-31.35,150.71
129,1.2230744876062984,-31.69,150.7
130,4.124001125711647,-32.59,151.03
131,0.39429512661797783,-31.05,150.16
132,0.5627400745645638,-34.17,150.78
133,0.5220354925172528,-32.81,151.87
134,0.510256165626787,-34.23,150.56
135,1.170823885117452,-32.44,150.46
136,0.8663549119428297,-32.17,150.86
137,1.210153711974659,-34.48,150.43
138,0.13558186227061608,-31.35,150.72
139,2.696186149529012,-34.61,150.71
140,0.7813800028904212,-32.13,148.61
141,0.3721485991210277,-30.44,150.0
142,0.349272282915008,-32.18,148.65
143,0.6120371271807673,-31.84,149.91
144,1.2018803757326324,-32.48,150.48
145,1.226851056476206,-34.28,150.52
146,2.5233746363040064,-30.43,149.95
147,1.446296488579656,-30.52,150.14
148,2.8148876308890958,-34.09,150.55
149,3.728232604377226,-34.2,150.56
150,16.518425932820954,-30.71,149.88
151,0.6064720246940272,-33.5,150.73
152,1.070116562165249,-33.62,150.74
153,0.9947245404562846,-31.01,150.26
154,0.23444470737862946,-32.14,150.13
155,3.021662325240627,-32.14,150.86
156,0.7520829016908019,-28.96,150.68
157,0.6114435680799708,-33.76,150.65
158,0.29020448781839053,-32.15,148.64
159,1.1672386339265963,-32.53,150.69
160,1.035925129627135,-32.17,149.79
161,0.3661934122839348,-31.11,149.7
162,1.8181560112145192,-34.58,150.72
163,0.5680161406055331,-34.19,150.55
164,0.6161700527656627,-31.08,149.89
165,0.0996036345012631,-34.48,150.36
166,0.0019048998417029559,-31.45,150.03
167,1.537404820584942,-33.5,150.71
168,0.3844833219531219,-30.54,149.73
169,1.5717889466920263,-32.75,151.08
170,0.5514741206349068,-34.06,150.66
171,2.4797066307482414,-32.38,149.98
172,0.19258950489533752,-34.1,150.62
173,0.27003820632673853,-31.81,148.08
174,2.2177976713703678,-33.51,150.9
175,3.4996507640745156,-31.02,150.14
176,0.7150949468159152,-32.6,151.02
177,0.9070263061211628,-30.5,149.71
178,0.05335942394369328,-31.59,149.82
179,2.039637980954643,-31.52,150.75
180,1.0194833757699646,-30.04,149.84
181,0.7061148537164177,-30.94,149.86
182,0.8014678953848937,-29.55,150.16
183,8.618719010127178,-31.66,150.68
184,2.844334134296279,-30.52,148.97
185,2.080845601252973,-29.74,149.65
186,0.1876916007726846,-34.57,150.26
187,0.010679507846109732,-30.1,149.75
188,0.13981701806435273,-31.55,149.87
189,1.2230336619692996,-30.03,149.66
190,0.5067536117442327,-28.76,150.48
191,1.6739965397449068,-32.35,150.13
192,0.58817779029528,-31.53,150.34
193,0.10193579462237377,-33.53,150.82
194,3.2150721156433733,-32.65,151.02
195,0.42712082292588194,-31.61,149.64
196,0.3782557390276173,-32.56,150.69
197,0.1299781413511436,-34.51,150.57
198,0.7136399458907831,-35.39,150.45
199,0.825618987855737,-34.05,150.52
200,0.5766558554291799,-32.19,149.79
201,0.25091708588848916,-32.15,148.63
202,0.46830301666116436,-34.79,150.67
203,1.1612847329356735,-30.22,149.53
204,0.463980457762685,-33.5,150.77
205,4.841111315263527,-34.57,150.25
206,2.9954079523997326,-30.11,149.78
207,1.5613824635627085,-29.01,150.72
208,0.16621350807965268,-33.41,150.55
209,0.19120169117064575,-31.37,150.12
210,0.0530786665387527,-29.95,150.01
211,0.3700073947650561,-31.22,148.94
212,0.04932451758528624,-34.36,150.62
213,0.42756760978529534,-31.61,149.88
214,0.2794991875804408,-34.19,150.58
215,0.7254443373117726,-29.47,150.15
216,0.7140205414513765,-34.07,150.53
217,0.34571348473309943,-31.95,148.37
218,0.4408202726094858,-32.13,148.6
219,0.5935815380485879,-30.92,150.25
220,0.09473012059419371,-32.14,150.83
221,1.1173490494742333,-32.03,150.61
222,0.9507566332174411,-33.31,151.2
223,0.5663770875682664,-30.25,149.81
224,0.46162940156953935,-34.32,150.61
225,1.2792245297167335,-32.04,150.61
226,0.7265682996998557,-33.54,150.93
227,0.13630788333024005,-30.24,149.56
228,1.6235175224148048,-32.65,151.02
229,0.627177694875724,-29.05,150.62
230,0.6820201414577797,-30.91,150.26
231,1.6186973997041585,-30.13,149.55
232,0.635881965098732,-33.68,150.98
233,1.0620331725677687,-30.81,149.15
234,4.2777438840306825,-30.14,149.59
235,1.0782159438967478,-34.51,150.52
236,0.8325320944711712,-33.42,151.33
237,0.18986932312377874,-33.48,151.39
238,0.8939628024853516,-31.28,150.14
239,0.3492839669787952,-34.41,150.48
240,1.9119453494641296,-34.5,150.47
241,0.4097346649097969,-34.12,150.51
242,0.12445986510281898,-34.51,150.46
243,0.341022255424474,-33.54,150.93
244,0.12918376820112168,-32.84,151.52
245,3.1336074780328196,-34.52,150.52
246,0.9390508458380709,-30.09,149.56
247,0.4416791355676412,-33.51,150.87
248,1.679055396370787,-30.88,150.2
249,0.4527148656631637,-30.82,150.2
250,0.31553083097558504,-33.49,151.42
251,3.4668042094506455,-30.88,150.21
252,0.02791927378113924,-32.83,151.52
253,1.5944529068339097,-34.2,150.54
254,0.6564828600208518,-30.88,150.23
255,2.590027828978459,-29.09,150.73
256,0.25737681413125574,-30.15,150.09
257,0.143863279070522,-32.55,150.08
258,0.6963094695988293,-33.77,150.63
259,1.5230916353844512,-34.47,150.29
260,1.0122905856196087,-33.11,151.65
261,0.11918020751717995,-33.51,151.11
262,1.3620806043203935,-34.43,150.31
263,0.40841412027994767,-35.07,150.69
264,1.3325854252375353,-35.02,150.83
265,0.21882344541057655,-34.18,150.53
266,0.5586166319176447,-32.76,151.84
267,0.2397552974719144,-33.71,151.2
268,1.0398445491133481,-33.51,151.4
269,0.7180767874612952,-34.6,150.31
270,0.6236519518606203,-34.51,150.75
271,0.3496848270039125,-34.59,150.46
272,0.11886040340711956,-34.85,150.52
273,0.27070664178134385,-33.51,150.63
274,0.09464785979084096,-32.77,151.86
275,0.509008037638071,-33.68,150.34
276,0.24420644844215347,-32.78,151.74
277,0.24444039144937652,-34.5,150.26
278,0.059076302807659534,-34.77,150.74
279,0.17758410602692884,-33.23,151.23
280,0.3601808901996494,-33.21,151.21
281,0.17282227139204648,-32.46,151.96
282,0.02487580385376661,-34.54,150.63
283,0.3794168753359816,-33.26,151.22
284,0.37218973433513114,-34.21,150.56
285,0.04575465097621179,-34.53,150.56
286,0.20251051575432585,-33.73,151.25
287,0.0214127778131352,-33.03,151.76
288,0.20904391777883674,-33.76,151.26
289,0.5545636905442666,-33.21,151.21
290,0.46409300893411015,-34.57,150.63
291,0.3040828745589943,-34.64,150.47
292,0.1277097784637969,-34.51,150.52
293,0.40205604780324056,-34.62,150.44
294,0.2973204852948223,-33.33,151.24
295,0.635785612293796,-33.33,151.17
296,0.1203621888788883,-34.63,150.47
297,0.3296561715777375,-33.35,151.19
298,0.4340099996423733,-34.61,150.58
299,0.4033220857814531,-33.23,151.17
300,0.28391633121626647,-34.76,150.65
301,0.4704522401628422,-34.63,150.56
302,0.34221542505445457,-33.39,151.22
303,0.7806849106268098,-33.01,151.75
304,0.4259927155596005,-33.31,151.25
305,0.4312890669195718,-34.53,150.58
