,relative_error,Latitude,Longitude
0,62.06464444444445,-32.12,150.84
1,36.36245,-30.99,149.84
2,51.776375,-30.99,150.25
3,48.87203538461538,-32.12,148.7
4,107.31783749999998,-30.99,150.25
5,25.7109015,-30.66,149.94
6,53.490073913043474,-32.25,150.67
7,16.832218,-32.27,150.48
8,14.953505263157894,-31.04,150.12
9,15.508030769230771,-31.15,150.19
10,12.046786749999997,-32.11,148.66
11,13.81014761904762,-30.88,149.76
12,11.869283777777778,-31.3,148.67
13,12.804346521739129,-32.35,150.63
14,9.301882352941178,-32.33,151.96
15,11.403263725490197,-32.93,150.24
16,13.789767272727273,-31.22,150.56
17,22.466367857142853,-32.43,150.67
18,8.31913339285714,-31.02,150.21
19,9.243140833333335,-31.03,150.23
20,7.72942875,-30.98,150.25
21,7.34715671875,-29.35,150.2
22,7.252299999999999,-32.66,151.01
23,17.429245454545452,-33.49,150.83
24,8.153076470588235,-30.98,150.12
25,6.557003333333333,-31.82,149.42
26,5.958286266666666,-31.51,149.51
27,9.182307792207792,-32.42,150.7
28,20.63779135802469,-30.68,149.85
29,5.364286219512195,-30.68,149.87
30,6.981949166666667,-32.64,151.21
31,2.555442558139535,-32.76,150.11
32,6.4646348837209295,-32.34,151.96
33,2.693689772727273,-31.05,150.1
34,4.835943333333333,-31.54,149.52
35,10.40007755102041,-32.24,150.86
36,31.8881696969697,-32.81,150.14
37,13.301856565656564,-32.31,151.96
38,5.0946083,-32.34,151.94
39,7.062972,-31.83,149.43
40,3.8420343,-32.15,149.8
41,2.095663809523809,-32.01,148.63
42,4.384379333333333,-34.52,150.33
43,4.1068588785046725,-31.11,150.31
44,8.469184259259258,-34.19,150.76
45,4.361083486238532,-32.36,150.71
46,5.860074482758621,-32.18,150.45
47,6.918491452991454,-31.4,149.94
48,4.0818186440677975,-31.47,148.91
49,4.147799159663866,-31.09,149.99
50,4.39955176,-34.05,150.55
51,4.1221259842519675,-32.32,151.95
52,6.886489062500001,-32.26,149.87
53,3.9026920149253734,-32.28,150.63
54,2.78167731884058,-30.66,150.05
55,3.3371220863309357,-32.47,150.0
56,5.078135460992908,-31.27,149.59
57,13.19730070921986,-32.37,150.46
58,2.845950694444445,-31.26,149.55
59,4.518810810810811,-32.14,150.31
60,1.0635698717948716,-32.34,150.64
61,2.2414377018633536,-31.52,150.46
62,8.554490123456791,-31.94,149.68
63,1.319959176470588,-29.94,149.87
64,1.9317713513513515,-31.03,150.16
65,0.7382069518716576,-32.33,151.96
66,5.882593157894736,-32.12,148.61
67,4.442984816753927,-31.82,149.57
68,2.3707497382198954,-32.29,149.95
69,2.1576706185567014,-32.54,150.69
70,5.250084848484849,-32.31,151.96
71,2.4024882352941175,-32.27,149.96
72,2.5017194174757282,-32.56,150.37
73,2.001071596244132,-32.33,150.11
74,1.8797509259259257,-30.81,149.8
75,4.011995833333333,-30.79,150.2
76,5.647512328767124,-32.22,149.77
77,1.6871060483870968,-31.21,150.08
78,1.347769236947791,-31.08,149.7
79,6.99601171875,-30.64,150.15
80,1.7203400375939848,-34.72,150.1
81,2.2230912727272725,-31.0,150.23
82,1.9291767272727276,-32.07,148.65
83,0.4348350724637683,-30.18,149.96
84,1.750128417266187,-32.27,150.74
85,2.5083817241379314,-31.98,148.63
