,relative_error,Latitude,Longitude
0,77.1436465449607,-32.12,150.84
1,67.91807835446347,-30.99,149.84
2,60.9454655802403,-30.99,150.25
3,56.18070212131253,-32.12,148.7
4,45.45909918518022,-30.99,150.25
5,54.24705921818532,-30.66,149.94
6,30.858191064436447,-32.25,150.67
7,18.95752894398798,-32.27,150.48
8,19.247368265286482,-31.04,150.12
9,21.194380400059217,-31.15,150.19
10,17.493404397181536,-32.11,148.66
11,16.69870445149723,-30.88,149.76
12,18.215384613182273,-31.3,148.67
13,14.711977299694462,-32.35,150.63
14,18.879190453329592,-32.33,151.96
15,18.76532639998582,-32.93,150.24
16,11.578082203918049,-31.22,150.56
17,12.512872040199925,-32.43,150.67
18,14.456800635755526,-31.02,150.21
19,11.38909311604806,-31.03,150.23
20,10.614774796295057,-30.98,150.25
21,13.184843716177284,-29.35,150.2
22,22.805128049688477,-32.66,151.01
23,26.821095298010597,-33.49,150.83
24,10.917690956516253,-30.98,150.12
25,9.492965348820261,-31.82,149.42
26,8.021276601764571,-31.51,149.51
27,8.653884773728088,-32.42,150.7
28,9.857239064312587,-30.68,149.85
29,10.484605158173572,-30.68,149.87
30,10.117326454092554,-32.64,151.21
31,9.877286789336596,-32.76,150.11
32,10.788822245579178,-32.34,151.96
33,7.213079043022106,-31.05,150.1
34,6.923394941273146,-31.54,149.52
35,7.727683726843541,-32.24,150.86
36,8.817700933091304,-32.81,150.14
37,6.779614429261223,-32.31,151.96
38,5.986363689371236,-32.34,151.94
39,8.41737622970233,-31.83,149.43
40,8.709210453603584,-32.15,149.8
41,6.9047616140562145,-32.01,148.63
42,15.558095064014198,-34.52,150.33
43,6.1553478652799525,-31.11,150.31
44,11.764132472884295,-34.19,150.76
45,5.78657042098405,-32.36,150.71
46,6.714854097968628,-32.18,150.45
47,5.467699438044409,-31.4,149.94
48,4.960108634785138,-31.47,148.91
49,5.568893235768724,-31.09,149.99
50,16.078615200924688,-34.05,150.55
51,5.429455229286877,-32.32,151.95
52,6.268918154446864,-32.26,149.87
53,4.33649916080198,-32.28,150.63
54,5.834353933137017,-30.66,150.05
55,8.134074488460277,-32.47,150.0
56,4.696908112739346,-31.27,149.59
57,4.126339478951335,-32.37,150.46
58,4.939673647435188,-31.26,149.55
59,3.5652026955242433,-32.14,150.31
60,3.604183537732885,-32.34,150.64
61,3.368278378289728,-31.52,150.46
62,4.821857054153754,-31.94,149.68
63,5.24262238986626,-29.94,149.87
64,3.9381579848383224,-31.03,150.16
65,4.421597396362617,-32.33,151.96
66,2.998407799472536,-32.12,148.61
67,4.306573556775052,-31.82,149.57
68,3.7815107248109654,-32.29,149.95
69,3.711340150661459,-32.54,150.69
70,2.8898072146306117,-32.31,151.96
71,3.823633719999503,-32.27,149.96
72,5.1788900275286505,-32.56,150.37
73,2.5945003213231965,-32.33,150.11
