,relative_error,Latitude,Longitude
0,39.93678566484871,-32.12,150.84
1,56.20713175753843,-30.99,149.84
2,28.945845630844442,-30.99,150.25
3,27.017627002256358,-32.12,148.7
4,21.45938422313333,-30.99,150.25
5,28.59319369895059,-30.66,149.94
6,16.233186991495668,-32.25,150.67
7,10.596588831873941,-32.27,150.48
8,10.237806051343089,-31.04,150.12
9,13.389677850674547,-31.15,150.19
10,8.723716727690222,-32.11,148.66
11,7.868262197058593,-30.88,149.76
12,12.739440922689674,-31.3,148.67
13,7.667713630266768,-32.35,150.63
14,18.031362698382658,-32.33,151.96
15,18.88163445423303,-32.93,150.24
16,6.338840884495534,-31.22,150.56
17,8.947665484912179,-32.43,150.67
18,8.052371384917011,-31.02,150.21
19,5.263826638934051,-31.03,150.23
20,4.614846055783333,-30.98,150.25
21,13.55689312472689,-29.35,150.2
22,16.967611211062874,-32.66,151.01
23,21.944714034970815,-33.49,150.83
24,7.7733653112414185,-30.98,150.12
25,6.438150500922188,-31.82,149.42
26,3.859055596969012,-31.51,149.51
27,6.315026877351275,-32.42,150.7
28,5.923274520571537,-30.68,149.85
29,5.918637249334171,-30.68,149.87
30,8.274870082569945,-32.64,151.21
31,10.262156472351313,-32.76,150.11
32,10.286040669971111,-32.34,151.96
33,3.2312692338702638,-31.05,150.1
34,3.7317134759731303,-31.54,149.52
35,5.107269624706421,-32.24,150.86
36,7.84061411961502,-32.81,150.14
37,4.148538888782319,-32.31,151.96
38,5.247886291293355,-32.34,151.94
39,5.272973922480043,-31.83,149.43
40,8.758984312226769,-32.15,149.8
41,4.069574454069213,-32.01,148.63
42,16.355607931434847,-34.52,150.33
43,5.705266006060014,-31.11,150.31
44,9.477080699670958,-34.19,150.76
45,2.9549751766391106,-32.36,150.71
46,7.52601217435562,-32.18,150.45
47,3.962919320477173,-31.4,149.94
48,2.397476315293644,-31.47,148.91
49,3.8847083958595205,-31.09,149.99
50,13.508408200470774,-34.05,150.55
51,6.858359029948091,-32.32,151.95
52,5.496640862264892,-32.26,149.87
53,3.248280124849516,-32.28,150.63
54,4.307957907556295,-30.66,150.05
55,6.403958237551358,-32.47,150.0
56,2.843853834561312,-31.27,149.59
57,2.0521604633983617,-32.37,150.46
58,4.289591470865175,-31.26,149.55
59,2.6015104021809923,-32.14,150.31
60,2.5447176976417527,-32.34,150.64
61,1.497380556928596,-31.52,150.46
62,4.507815889335414,-31.94,149.68
63,4.510631867927016,-29.94,149.87
64,1.112510488704268,-31.03,150.16
65,4.190371645013451,-32.33,151.96
66,2.0123806868465373,-32.12,148.61
67,4.484398147270412,-31.82,149.57
68,1.022489273983059,-32.29,149.95
69,3.4997475596929215,-32.54,150.69
70,1.5742694443911598,-32.31,151.96
71,0.9246664844824848,-32.27,149.96
72,4.309454751207431,-32.56,150.37
73,1.6340890672771233,-32.33,150.11
74,1.7024424823752289,-30.81,149.8
75,2.506451863456542,-30.79,150.2
76,3.1274580871868083,-32.22,149.77
77,1.3635957334183362,-31.21,150.08
78,1.303420760376787,-31.08,149.7
79,2.002314067320206,-30.64,150.15
80,6.573968668110179,-34.72,150.1
81,0.4578525911223572,-31.0,150.23
82,0.49787903057199046,-32.07,148.65
83,2.6152988790016893,-30.18,149.96
84,0.4513169488231749,-32.27,150.74
85,0.9924942001086197,-31.98,148.63
86,35.661507616250255,-33.77,151.12
87,0.8997617452077757,-32.14,148.66
88,0.522549485713825,-32.2,150.35
89,0.29145182115254475,-32.25,150.41
90,0.3044251256957705,-32.27,149.96
91,0.9550357594366773,-31.98,148.61
92,0.30114858493839236,-32.12,150.87
93,0.8178291103916474,-31.37,149.82
94,0.8350959181518612,-32.02,148.46
95,0.3111004125106466,-32.38,150.53
96,0.11353704902484145,-31.1,150.05
97,0.6420794062140286,-32.35,150.13
98,0.20900280899212087,-31.0,150.24
99,1.2310902464422835,-31.45,150.41
100,4.96404350216768,-34.43,150.4
101,1.3511087226102279,-30.43,149.93
