FID,Bore,Latitude,Longitude,R,Bioregion,Subregion,rainfall_annual_avg,rainfall_summer_avg,rainfall_winter_avg,aridity_index,PET,clay_depth_avg,silt_depth_avg,sand_depth_avg,regolith_depth,LAI,NDVI,veg_height,MrVBF,weathering_intensity_index,surface_geol
46,GW026039,-34.65,150.82,88.66,Sydney Basin,Sydney,1227.34997558594,0.280688732862473,0.248736441135406,1.08984434604645,1126.17004394531,31.2443695068359,20.0154342651367,59.8521003723145,10.2380046844482,2.9358696937561,0.593764191501526,3.3,4,NA,Alluvium_colluvium
47,GW013508,-34.65,150.79,57.82,Sydney Basin,Sydney,1227.34997558594,0.280688732862473,0.248736441135406,1.08984434604645,1126.17004394531,29.2915287017822,16.0546627044678,57.8015899658203,5.28116321563721,2.71002411842346,0.58623347933597,3.3,3,NA,Basement
48,GW037987,-34.63,150.74,77.34,Sydney Basin,Sydney,1345.84997558594,0.280434906482697,0.255538642406464,1.20931434631348,1112.9033203125,40.1384239196777,18.1931476593018,28.5405693054199,1.70556890964508,4.57512092590332,0.541570175667865,3.2,0,NA,Basement
49,GW032572,-34.62,150.83,28.78,Sydney Basin,Sydney,1058.00671386719,0.277855843305588,0.250385940074921,0.934183776378632,1132.54663085938,35.5619201660156,17.6105766296387,50.1579246520996,6.05880784988403,1.49903380870819,0.511555065930152,1.5,2,NA,Alluvium_colluvium
50,GW060227,-34.71,150.1,14.02,Sydney Basin,Sydney,700.940002441406,0.333052754402161,0.228360012173653,0.661484658718109,1059.64672851562,31.1945991516113,16.0953769683838,48.7030372619629,7.98107290267944,1.43526566028595,0.467026549894198,15.1,2,NA,Mid_Permian
51,GW038013,-34.69,150.16,64.49,Sydney Basin,Sydney,750.67333984375,0.328900277614594,0.233106285333633,0.716036260128021,1048.37329101562,34.2707633972168,14.1070680618286,48.5748252868652,8.70372104644775,1.46425127983093,0.490057270432359,15.8,3,NA,J_K_aquifer
52,GW053754,-34.69,150.15,75.54,Sydney Basin,Sydney,750.67333984375,0.328900277614594,0.233106285333633,0.716036260128021,1048.37329101562,35.0273628234863,15.9136753082275,50.2539825439453,8.49254322052002,1.37838160991669,0.4804385972389,15.1,3,NA,J_K_aquifer
53,GW037748,-34.64,150.54,207.18,Sydney Basin,Sydney,1217.94665527344,0.292711228132248,0.268345087766647,1.16180813312531,1048.31994628906,32.077507019043,18.125560760498,43.5139694213867,7.10601902008057,5.75603866577148,0.577666668987377,25.6,3,NA,J_K_aquifer
54,GW028697,-34.65,150.44,123.6,Sydney Basin,Sydney,1073.41662597656,0.28510519862175,0.270357877016068,1.04816627502441,1024.08996582031,34.9255104064941,17.760669708252,46.6982192993164,6.31812524795532,1.71666669845581,0.555187773626444,2.2,0,NA,J_K_aquifer
55,GW056583,-34.65,150.48,99.81,Sydney Basin,Sydney,1124.56994628906,0.292233169078827,0.270998388528824,1.09421288967133,1027.74328613281,23.2255420684814,13.4501523971558,48.1925582885742,1.2651789188385,4.41413021087646,0.516017316675289,29.7,0,NA,Permian_coal_measures
56,GW027498,-34.61,150.78,9.28,Sydney Basin,Sydney,1091.0400390625,0.288745909929276,0.249019280076027,0.97033953666687,1124.39001464844,36.5455093383789,18.1448707580566,29.2446136474609,1.22664606571198,5.38333320617676,0.546004387435683,3.3,0,NA,Basement
57,GW037421,-34.67,150.23,77.68,Sydney Basin,Sydney,873.099975585938,0.312896579504013,0.24435918033123,0.838186681270599,1041.6533203125,34.6348419189453,15.6423168182373,45.7440872192383,5.62163114547729,1.67971014976501,0.511069868069028,10.3,3,NA,J_K_aquifer
58,GW037489,-34.64,150.47,150.74,Sydney Basin,Sydney,1073.41662597656,0.28510519862175,0.270357877016068,1.04816627502441,1024.08996582031,34.4009780883789,20.175895690918,46.2366027832031,7.50492286682129,2.16787433624268,0.542732456797048,2.6,0,NA,J_K_aquifer
59,GW041057,-34.62,150.61,54.74,Sydney Basin,Sydney,1398.22998046875,0.300117522478104,0.257082164287567,1.38801884651184,1007.35668945312,31.6711921691895,19.0522747039795,39.2529716491699,8.17485332489014,2.5484299659729,0.58010132223499,3.3,0,NA,Mesozoic_aquitard
60,GW012848,-34.64,150.47,169.34,Sydney Basin,Sydney,1073.41662597656,0.28510519862175,0.270357877016068,1.04816627502441,1024.08996582031,34.4009780883789,20.175895690918,46.2366027832031,7.50492286682129,2.16787433624268,0.542732456797048,2.6,0,NA,J_K_aquifer
61,GW035939,-34.63,150.56,199.42,Sydney Basin,Sydney,1217.94665527344,0.292711228132248,0.268345087766647,1.16180813312531,1048.31994628906,32.760139465332,18.6293182373047,43.854679107666,6.45534181594849,5.24613523483276,0.564895651392315,4,3,NA,J_K_aquifer
62,GW042638,-34.64,150.44,141.23,Sydney Basin,Sydney,1073.41662597656,0.28510519862175,0.270357877016068,1.04816627502441,1024.08996582031,34.3058967590332,17.0893268585205,42.5493354797363,5.9039888381958,4.72729444503784,0.553504386622655,1.8,0,NA,J_K_aquifer
63,GW053556,-34.64,150.44,166.44,Sydney Basin,Sydney,1073.41662597656,0.28510519862175,0.270357877016068,1.04816627502441,1024.08996582031,34.3058967590332,17.0893268585205,42.5493354797363,5.9039888381958,4.72729444503784,0.553504386622655,1.8,0,NA,J_K_aquifer
64,GW038231,-34.59,150.78,4.02,Sydney Basin,Sydney,1091.0400390625,0.288745909929276,0.249019280076027,0.97033953666687,1124.39001464844,28.4459228515625,17.5965824127197,38.8594970703125,7.56962633132935,0.860024154186249,0.448786956233823,2.3,2,NA,Mid_Permian
65,GW047060,-34.63,150.46,148.28,Sydney Basin,Sydney,1073.41662597656,0.28510519862175,0.270357877016068,1.04816627502441,1024.08996582031,34.0288276672363,19.7133560180664,48.0344734191895,5.36838483810425,1.80772948265076,0.563377193060883,12.2,0,NA,J_K_aquifer
66,GW017565,-34.59,150.79,3.5,Sydney Basin,Sydney,1091.0400390625,0.288745909929276,0.249019280076027,0.97033953666687,1124.39001464844,30.8976612091064,17.9330806732178,54.9397850036621,2.67016935348511,0.965821266174316,0.469816595120721,3.8,1,NA,Mid_Permian
67,GW024156,-34.59,150.79,6.21,Sydney Basin,Sydney,1091.0400390625,0.288745909929276,0.249019280076027,0.97033953666687,1124.39001464844,30.8976612091064,17.9330806732178,54.9397850036621,2.67016935348511,0.965821266174316,0.469816595120721,3.8,1,NA,Mid_Permian
68,GW013320,-34.61,150.58,186.58,Sydney Basin,Sydney,1398.22998046875,0.300117522478104,0.257082164287567,1.38801884651184,1007.35668945312,35.3963508605957,17.8020553588867,43.9832992553711,7.84255599975586,2.85410618782043,0.586765218428943,3.3,0,NA,J_K_aquifer
69,GW012996,-34.57,150.85,18.58,Sydney Basin,Sydney,1018.03997802734,0.281629413366318,0.251152545213699,0.894479513168335,1138.13671875,40.6534996032715,12.7694673538208,36.9427604675293,4.37190198898315,NA,NA,10,0,NA,Basement
70,GW017976,-34.58,150.75,6.31,Sydney Basin,Sydney,1192.71997070312,0.29242405295372,0.254351407289505,1.07262849807739,1111.9599609375,21.6908016204834,19.8358688354492,45.9719429016113,1.68459010124207,1.91485512256622,0.528978166296493,3.8,0,NA,Mid_Permian
71,GW053016,-34.61,150.51,154.81,Sydney Basin,Sydney,1115.693359375,0.281310886144638,0.272141695022583,1.10321962833405,1011.306640625,36.6314010620117,21.7031002044678,34.5241355895996,9.21014976501465,1.95229470729828,0.570861470970241,4.7,4,NA,Mesozoic_aquitard
72,GW031974,-34.58,150.71,5.79,Sydney Basin,Sydney,1316.9599609375,0.296781986951828,0.261374682188034,1.23051238059998,1070.25329589844,30.0648040771484,13.8111171722412,39.2603187561035,5.38670015335083,2.0211353302002,0.539078262059585,3.3,0,NA,Basement
73,GW059337,-34.6,150.53,212.16,Sydney Basin,Sydney,1269.06665039062,0.28614729642868,0.263374656438828,1.26166486740112,1005.86663818359,40.7074508666992,19.2987442016602,35.6202430725098,11.4596977233887,2.91702890396118,0.588684210128951,3.2,2,NA,Mesozoic_aquitard
74,GW075412,-34.61,150.44,147.07,Sydney Basin,Sydney,1004.38665771484,0.284256398677826,0.271382868289948,0.984480440616608,1020.21997070312,34.8702774047852,19.4396877288818,45.4461517333984,5.54099082946777,1.80205309391022,0.55646052342235,11.6,3,NA,J_K_aquifer
75,GW057739,-34.6,150.43,82.96,Sydney Basin,Sydney,1004.38665771484,0.284256398677826,0.271382868289948,0.984480440616608,1020.21997070312,33.4516448974609,19.4703903198242,40.1839027404785,5.00940990447998,4.6160626411438,0.548398268106696,15.5,3,NA,Mesozoic_aquitard
76,GW014121,-34.61,150.3,9.47,Sydney Basin,Sydney,889.676696777344,0.302847862243652,0.251825571060181,0.862485408782959,1031.52661132812,34.3939437866211,16.728874206543,32.4881439208984,6.45602226257324,1.93260872364044,0.53866960324905,1.2,3,NA,Cenozoic_volcanics
77,GW050251,-34.61,150.31,65.91,Sydney Basin,Sydney,889.676696777344,0.302847862243652,0.251825571060181,0.862485408782959,1031.52661132812,34.0468559265137,14.8416328430176,35.2291717529297,6.30311727523804,2.03321242332458,0.538568282311183,10,0,NA,Cenozoic_volcanics
78,GW011262,-34.61,150.3,15.76,Sydney Basin,Sydney,889.676696777344,0.302847862243652,0.251825571060181,0.862485408782959,1031.52661132812,34.3939437866211,16.728874206543,32.4881439208984,6.45602226257324,1.93260872364044,0.53866960324905,1.2,3,NA,Cenozoic_volcanics
79,GW037967,-34.62,150.21,22.64,Sydney Basin,Sydney,773.039978027344,0.320975184440613,0.236512124538422,0.744412362575531,1038.45666503906,33.9966659545898,12.4203977584839,45.7938003540039,4.61520147323608,1.53623187541962,0.482903509090344,8.2,0,NA,J_K_aquifer
80,GW057319,-34.57,150.63,118.72,Sydney Basin,Sydney,1272.26672363281,0.306738615036011,0.254983246326447,1.22107911109924,1041.92004394531,30.2936134338379,17.5472145080566,35.6607208251953,8.62327766418457,2.5,0.559004384436105,3.3,1,NA,Mesozoic_aquitard
81,GW037422,-34.59,150.46,67.6,Sydney Basin,Sydney,1004.38665771484,0.284256398677826,0.271382868289948,0.984480440616608,1020.21997070312,37.5637359619141,18.4618549346924,40.0464630126953,6.37605094909668,2.14287447929382,0.565152838761109,1.7,3,NA,Mesozoic_aquitard
82,GW057756,-34.6,150.38,36.36,Sydney Basin,Sydney,936.5966796875,0.286434203386307,0.269368886947632,0.90538501739502,1034.47338867188,30.9078369140625,16.1110858917236,43.4872741699219,5.28438234329224,2.13683581352234,0.548838427623807,13.9,3,NA,Mesozoic_aquitard
83,GW044710,-34.62,150.16,49.84,Sydney Basin,Sydney,711.640014648438,0.329056829214096,0.231179624795914,0.674610614776611,1054.89001464844,35.1399116516113,12.6845750808716,47.6595611572266,5.6827654838562,1.07185995578766,0.448017316334175,2.8,0,NA,J_K_aquifer
84,GW042926,-34.61,150.25,21.38,Sydney Basin,Sydney,827.080017089844,0.312891930341721,0.244752630591393,0.798057317733765,1036.36669921875,36.245059967041,18.0644493103027,33.6795654296875,6.33286333084106,1.43864738941193,0.505104804663679,1.3,2,NA,Mesozoic_aquitard
85,GW013164,-34.55,150.72,49.96,Sydney Basin,Sydney,1193.14660644531,0.302787572145462,0.254662752151489,1.08359181880951,1101.10339355469,31.1801567077637,13.1916818618774,41.0650100708008,3.43670916557312,1.95398545265198,0.525305676733563,3.3,2,NA,Mid_Permian
86,GW015076,-34.55,150.73,5.39,Sydney Basin,Sydney,1058.31005859375,0.296582907438278,0.250074803829193,0.925325393676758,1143.71667480469,29.4433650970459,17.8619327545166,38.6965370178223,8.90988349914551,2.34939622879028,0.532200000791446,3.3,3,NA,Alluvium_colluvium
87,GW012769,-34.55,150.72,8.08,Sydney Basin,Sydney,1193.14660644531,0.302787572145462,0.254662752151489,1.08359181880951,1101.10339355469,31.1801567077637,13.1916818618774,41.0650100708008,3.43670916557312,1.95398545265198,0.525305676733563,3.3,2,NA,Mid_Permian
88,GW012775,-34.55,150.71,27.97,Sydney Basin,Sydney,1193.14660644531,0.302787572145462,0.254662752151489,1.08359181880951,1101.10339355469,34.2664337158203,14.4734029769897,41.4668846130371,1.54494082927704,2.32922697067261,0.527873912842377,3.3,0,NA,Basement
89,GW050583,-34.6,150.26,6.21,Sydney Basin,Sydney,827.080017089844,0.312891930341721,0.244752630591393,0.798057317733765,1036.36669921875,35.2297096252441,18.0499019622803,35.2323226928711,4.7276496887207,1.90410625934601,0.506606986949538,7.4,2,NA,Cenozoic_volcanics
90,GW041009,-34.56,150.59,149.88,Sydney Basin,Sydney,1272.82995605469,0.303295284509659,0.254684448242188,1.25415968894958,1014.88665771484,36.7139358520508,17.9531021118164,33.0379219055176,6.44052362442017,3.73103857040405,0.578441050375393,33.7,0,NA,J_K_aquifer
91,GW053019,-34.6,150.24,3.62,Sydney Basin,Sydney,827.080017089844,0.312891930341721,0.244752630591393,0.798057317733765,1036.36669921875,32.1709594726562,18.5174312591553,39.557014465332,4.47761392593384,1.52089369297028,0.49712173835091,4.4,2,NA,Mesozoic_aquitard
92,GW041051,-34.56,150.58,152.16,Sydney Basin,Sydney,1272.82995605469,0.303295284509659,0.254684448242188,1.25415968894958,1014.88665771484,33.8580284118652,18.5063991546631,32.0163040161133,7.35054159164429,2.40253615379333,0.583283843692213,11.6,0,NA,Mesozoic_aquitard
93,GW007261,-34.54,150.74,13.5,Sydney Basin,Sydney,1058.31005859375,0.296582907438278,0.250074803829193,0.925325393676758,1143.71667480469,26.5487937927246,14.0472707748413,49.6931266784668,1.39554369449615,2.3309178352356,0.522073912879695,3.3,0,NA,Mid_Permian
94,GW047443,-34.59,150.26,10.39,Sydney Basin,Sydney,827.080017089844,0.312891930341721,0.244752630591393,0.798057317733765,1036.36669921875,31.3056373596191,14.3490676879883,39.8869323730469,4.98600912094116,1.49082124233246,0.496222707447006,1.4,0,NA,Mesozoic_aquitard
95,GW041066,-34.54,150.63,148.4,Sydney Basin,Sydney,1272.26672363281,0.306738615036011,0.254983246326447,1.22107911109924,1041.92004394531,33.7666664123535,17.951868057251,38.9794273376465,7.94945335388184,4.95277786254883,0.553100876771567,20,2,NA,Mesozoic_aquitard
96,GW057943,-34.58,150.3,0.93,Sydney Basin,Sydney,889.676696777344,0.302847862243652,0.251825571060181,0.862485408782959,1031.52661132812,33.181941986084,18.5633735656738,43.3136215209961,5.30216836929321,1.5660628080368,0.508397380402515,1.8,0,NA,Mesozoic_aquitard
97,GW047406,-34.59,150.25,14.75,Sydney Basin,Sydney,827.080017089844,0.312891930341721,0.244752630591393,0.798057317733765,1036.36669921875,33.1309509277344,16.3714160919189,41.0243072509766,4.48993921279907,1.65024149417877,0.497122269595554,1.4,2,NA,Mesozoic_aquitard
98,GW059264,-34.57,150.41,1.32,Sydney Basin,Sydney,833.580017089844,0.294884711503983,0.265893310308456,0.809253871440887,1030.06005859375,33.0279121398926,19.7572021484375,36.1218070983887,6.56529951095581,2.09178733825684,0.550466961272488,2.9,2,NA,Mesozoic_aquitard
