iter	RMSE
0	0.1463562203
9	0.0849600976
18	0.06113243221
27	0.0501526714
36	0.04420756394
45	0.0404962012
54	0.0370088552
63	0.0347002609
72	0.03294701742
81	0.0307600975
90	0.02888806211
99	0.02759382918
